,0
813,1
814,0
815,0
816,0
817,0
818,1
819,1
820,0
821,1
822,1
823,0
824,1
825,1
826,0
827,1
828,1
829,1
830,1
831,1
832,1
833,0
834,0
835,1
836,1
837,1
838,0
839,0
840,1
841,0
842,1
843,0
844,1
845,0
846,1
847,0
848,1
849,0
850,1
851,1
852,0
853,1
854,0
855,1
856,0
857,1
858,0
859,0
860,0
861,1
862,1
863,1
864,0
865,1
866,0
867,0
868,1
869,1
870,1
871,0
872,0
873,1
874,0
875,1
876,0
877,0
878,1
879,0
880,1
881,0
882,1
883,0
884,0
885,1
886,0
887,0
888,1
889,1
890,1
891,1
892,1
893,0
894,0
895,0
896,1
897,1
898,0
899,1
900,1
901,0
902,0
903,1
904,1
905,0
906,0
907,0
908,1
909,1
910,1
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,1
919,0
920,1
921,0
922,0
923,1
924,0
925,0
926,1
927,1
928,0
929,0
930,1
931,0
932,0
933,1
934,0
935,1
936,0
937,1
938,0
939,0
940,0
941,1
942,1
943,1
944,1
945,0
946,0
947,1
948,0
949,0
950,0
951,0
952,0
953,1
954,1
955,0
956,0
957,0
958,0
959,0
960,1
961,0
962,1
963,0
964,0
965,1
966,1
967,0
968,0
969,0
970,1
971,0
972,0
973,1
974,0
975,0
976,0
977,0
978,0
979,1
980,0
981,1
982,0
983,1
984,1
985,1
986,0
987,0
988,1
989,1
990,0
991,0
992,0
993,0
994,1
995,0
996,0
997,1
998,0
999,0
