,0
533,0
534,1
535,1
536,1
537,0
538,0
539,0
540,0
541,1
542,0
543,0
544,0
545,0
546,0
547,1
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,1
557,0
558,1
559,0
560,0
561,1
562,0
563,0
564,0
565,0
566,1
567,0
568,0
569,1
570,0
571,1
572,0
573,0
574,0
575,0
576,1
577,1
578,0
579,1
580,1
581,1
582,0
583,1
584,0
585,0
586,0
587,1
588,0
589,0
590,1
591,0
592,0
593,0
594,0
595,0
596,0
597,1
598,0
599,0
600,0
601,0
602,0
603,1
604,1
605,0
606,0
607,1
608,1
609,0
610,0
611,1
612,0
613,0
614,0
615,1
616,1
617,0
618,1
619,0
620,1
621,0
622,0
623,0
624,1
625,0
626,0
627,0
628,1
629,0
630,0
631,1
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,1
641,1
642,0
643,1
644,1
645,1
646,0
647,0
648,1
649,0
650,1
651,0
652,1
653,1
654,0
655,1
656,0
657,1
658,0
659,1
660,0
661,0
662,1
663,0
664,1
665,1
666,0
667,1
668,1
669,0
670,0
671,1
672,1
673,1
674,0
675,1
676,0
677,1
678,0
679,0
680,1
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,1
693,1
694,1
695,1
696,1
697,1
698,0
699,0
700,0
701,1
702,0
703,0
704,1
705,1
706,0
707,1
708,1
709,0
710,0
711,0
712,0
713,1
714,0
715,0
716,1
717,1
718,0
719,0
720,1
721,0
722,1
723,0
724,0
725,0
726,1
727,0
728,1
729,1
730,0
731,0
732,1
733,0
734,0
735,1
736,0
737,0
738,0
739,0
740,0
741,1
742,0
743,0
744,0
745,1
746,0
747,1
748,0
749,0
750,1
751,1
752,1
753,0
754,0
755,1
756,1
757,0
758,0
759,0
760,0
761,1
762,0
763,0
764,1
765,1
766,0
767,0
768,0
769,1
770,0
771,0
772,1
773,1
774,1
775,1
776,1
777,0
778,0
779,0
780,1
781,0
782,0
783,1
784,0
785,1
786,1
787,1
788,0
789,1
790,1
791,1
792,0
793,1
794,0
795,1
796,0
797,1
798,1
799,1
800,0
801,0
802,0
803,1
804,0
805,1
806,0
807,0
808,1
809,1
810,1
811,1
812,0
813,0
814,0
815,0
816,0
817,1
818,0
819,1
820,1
821,0
822,0
823,0
824,1
825,1
826,1
827,0
828,1
829,1
830,0
831,1
832,0
833,1
834,1
835,0
836,0
837,1
838,0
839,1
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,1
848,1
849,1
850,0
851,0
852,1
853,1
854,0
855,0
856,1
857,0
858,0
859,1
860,0
861,1
862,1
863,1
864,0
865,0
866,0
867,0
868,1
869,0
870,0
871,1
872,1
873,0
874,0
875,0
876,0
877,1
878,0
879,0
880,1
881,0
882,0
883,0
884,0
885,1
886,1
887,0
888,0
889,0
890,1
891,0
892,1
893,1
894,0
895,1
896,1
897,0
898,0
899,0
900,1
901,1
902,0
903,0
904,1
905,0
906,0
907,0
908,0
909,1
910,1
911,1
912,0
913,0
914,0
915,1
916,0
917,0
918,0
919,1
920,1
921,0
922,0
923,1
924,1
925,0
926,0
927,0
928,0
929,1
930,1
931,1
932,0
933,0
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,0
943,0
944,1
945,0
946,0
947,1
948,0
949,1
950,0
951,0
952,0
953,0
954,0
955,1
956,0
957,0
958,0
959,1
960,0
961,1
962,1
963,0
964,1
965,0
966,1
967,0
968,1
969,0
970,0
971,1
972,0
973,0
974,0
975,0
976,0
977,1
978,1
979,0
980,1
981,1
982,0
983,0
984,0
985,1
986,0
987,0
988,0
989,0
990,0
991,1
992,1
993,1
994,0
995,0
996,1
997,0
998,1
999,1
